Beltran Leyva;Chapo;4
Beltran Leyva;Puente Grande;3
Chapo;Hernandez;4
Chapo;Hunt;4
Chapo;Joaquin Archivaldo;2
Chapo;Juarez;4
Chapo;Mexico;3
Chapo;Federal;4
Chapo;Arellano Felix;1
Chapo;Guzman Bustillos;3
Chapo;Cuando;4
Chapo;Claudio Julian;1
Chapo;Puente;4
Chapo;Tello Peon;4
Chapo;Chito;4
Chapo;Sinaloa;4
Chapo;Emilio;4
Chapo;Puente Grande;1
Chapo;Guzman Loera;3
Chapo;Guadalajara;4
Culiacan;Benjamin;3
Culiacan;Ortiz Maldonado;2
Culiacan;Javier;4
Culiacan;Miguel Angel Felix Gallardo;3
Culiacan;Badiraguato;4
Culiacan;Eduardo;3
Culiacan;Arellano Felix;2
Culiacan;Sinaloa;4
Culiacan;Miguel;4
Culiacan;Ramon;3
Culiacan;Aaron Irizar;3
Culiacan;Lopez;4
Culiacan;Juan Garcia Abrego;1
Francisco Camberos Rivera;Sanchez Flores;1
Benjamin;Eduardo;4
Benjamin;Arellano Felix;3
Benjamin;Javier;3
Benjamin;Ramon;4
Vicente;Rodolfo;4
Vicente;Juan Jose;2
Neto Fonseca;Caro Quintero;3
Juan Garcia Abrego;Javier;1
Arturo;Aureliano;4
Arturo;Emilio;4
Juarez;Cuando;3
Juarez;Mexico;4
Guzman Bustillos;Emilio;3
Alamo;Ismael Zambada Garcia;3
Alamo;Sinaloa;4
Emilio;Aureliano;4
Miguel Angel;Puente Grande;1
Miguel Angel;Trillo Hernandez;3
Marcos Arturo;Alfredo;4
Marcos Arturo;Mario;3
Marcos Arturo;Leyva;4
Marcos Arturo;Carlos;3
Guzman Loera;Joaquin Archivaldo;3
Guzman Loera;Puente;3
Cardenas Guillen;Garcia Abrego;1
Cardenas Guillen;Guzman Decena;1
Villa;Francisco;4
Puente Grande;Cuando;1
Puente Grande;Trillo Hernandez;2
Puente Grande;Custodio Jaime Sanchez Flores;2
Cuando;Claudio Julian;1
Cuando;Mexico;3
Claudio Julian;Rios Peralta;3
Mauricio Limon Aguirre;Tello Peon;2
Ismael Zambada Garcia;Sinaloa;3
Sinaloa;Chihuahua;4
Sinaloa;Miguel Angel Felix Gallardo;3
Sinaloa;Badiraguato;4
Sinaloa;Joaquin Archivaldo Guzman Loera;2
Sinaloa;Archivaldo Guzman Loera;1
Sinaloa;Arellano Felix;1
Sinaloa;Leyva;4
Sinaloa;Rafael Caro Quintero;2
Sinaloa;Aaron Irizar;4
Sinaloa;Lopez;3
Amezcua Contreras;Jose;4
America;Mexico;4
Lopez;Aaron Irizar;3
Rodolfo;Juan Jose;2
Aviles Perez;Pedro Aviles Perez;1
Valencia Fontes;Jaime Leonardo;3
Beltran;Guzman;4
Miguel;Ortiz Maldonado;2
Tello Peon;Tello Peon;1
Mochomo;Barbas;4
Leyva;Alfredo;4
Leyva;Mario;3
Leyva;Carlos;3
Joaquin Guzman;Bill Gates;1
Hidalgo;Parral;4
Chihuahua;Durango;4
Gomez Contreras;Ofelia Contreras;4
Guadalupe;Virgen;4
Eduardo;Arellano Felix;3
Eduardo;Javier;3
Eduardo;Ramon;4
Barbas;Alfredo;4
Barbas;Mario;2
Barbas;Carlos;2
Javier;Arellano Felix;2
Javier;Ramon;3
Joaquin Archivaldo;Puente;2
Joaquin Archivaldo Guzman Loera;Badiraguato;2
Archivaldo Guzman Loera;Badiraguato;1
Gonzalez Sanchez;Jesus Manuel;3
Rafael Caro Quintero;Badiraguato;2
Arellano Felix;Ramon;3
Bernarda;Armida;4
Mario;Alfredo;2
Mario;Carlos;4
Badiraguato;Carlos;4
Puebla;Reynosa;4
Alfredo;Carlos;2
