Año,Mes,Día,Localidad,Muertos,Heridos,Detenidos,Liberados,Decomisos,URL
2011,enero,22,Monterrey,0,0,11,0,Automóvil,http://www.elnorte.com/seguridad/articulo/606/1210095/
2011,enero,18,Monterrey,5,0,0,0,Automóvil,http://www.elnorte.com/seguridad/articulo/605/1209179/
2011,enero,16,Monterrey,1,3,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/605/1208568/
2011,enero,11,Monterrey,0,0,0,0,Armas,http://www.elnorte.com/seguridad/articulo/604/1206871
2011,enero,20,Monterrey,0,0,0,0,Automóvil,http://www.elnorte.com/seguridad/articulo/606/1210127/
2011,enero,17,Monterrey,0,0,4,0,Armas,http://www.elnorte.com/seguridad/articulo/605/1208889/
2011,enero,3,Monterrey,3,3,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/603/1204317/
2011,enero,22,Monterrey,1,2,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/606/1210519/
2011,enero,22,Monterrey,0,3,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/606/1210536/
2011,enero,27,Monterrey,1,0,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/607/1212923/
2011,enero,6,Monterrey,0,0,0,0,Armas,http://www.elnorte.com/seguridad/articulo/603/1205401/
2011,enero,24,Monterrey,0,3,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/606/1211405/
2011,enero,10,Monterrey,1,0,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/604/1206607/
2011,enero,11,Monterrey,1,2,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/604/1206928
2011,enero,16,Monterrey,0,2,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/605/1208540/
2011,enero,5,Monterrey,1,0,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/603/1205031/
2011,enero,26,Monterrey,1,0,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/606/1211761/
2011,enero,10,Monterrey,1,0,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/604/1206604/
2011,enero,6,Monterrey,0,0,4,0,Automóvil,http://www.elnorte.com/seguridad/articulo/603/1205405/
2011,enero,6,Monterrey,1,0,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/603/1205785/
2011,enero,27,Monterrey,1,0,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/607/1212558/
2011,enero,23,Monterrey,0,0,0,0,"Armas, Droga",http://www.elnorte.com/seguridad/articulo/606/1210923/
2011,enero,29,Monterrey,2,0,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/607/1213224/
2011,enero,17,Monterrey,6,2,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/605/1208907/
2011,enero,27,Monterrey,1,0,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/607/1212593/
2011,enero,31,Monterrey,0,5,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/607/1213896/
2011,enero,31,Monterrey,0,5,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/607/1213896/
2011,enero,9,Monterrey,2,0,0,0,"Armas, Droga",http://www.elnorte.com/seguridad/articulo/604/1206239
2011,enero,27,Monterrey,0,2,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/607/1212569/
2011,enero,14,Monterrey,3,0,0,0,Automóvil,http://www.elnorte.com/seguridad/articulo/605/1208075/
2011,enero,17,Monterrey,6,2,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/605/1208907/
2011,enero,31,Monterrey,1,0,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/607/1213796/
2011,enero,10,Monterrey,1,0,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/604/1206602
2011,enero,11,Monterrey,1,0,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/604/1206974/
2011,enero,15,Monterrey,1,0,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/605/1208314/
2011,enero,13,Monterrey,1,0,0,0,Automóvil,http://www.elnorte.com/seguridad/articulo/604/1207789
2011,enero,7,Monterrey,1,1,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/603/1205729/
2011,enero,4,Monterrey,1,1,0,1,Ninguno,http://www.elnorte.com/seguridad/articulo/603/1204711/
2011,enero,10,Monterrey,0,0,0,0,Ninguno,http://www.elnorte.com/local/articulo/604/1206599
2011,enero,21,Monterrey,0,0,0,0,Automóvil,http://www.elnorte.com/seguridad/articulo/606/1210466/
2011,enero,27,Monterrey,0,0,2,0,"Armas, Droga, Automóvil",http://www.elnorte.com/seguridad/articulo/606/1211072/
2011,enero,17,Monterrey,3,0,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/605/1208641/
2011,enero,24,Monterrey,0,0,2,0,Ninguno,http://www.elnorte.com/seguridad/articulo/606/1211404/
2011,enero,3,Monterrey,1,0,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/603/1204356/
2011,enero,14,Monterrey,1,0,0,0,Ninguno,http://www.elnorte.com/seguridad/articulo/605/1208116/
